우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|9|0|1168010300101700022019428|||1168010300|개포동||개포2동|0|170|01|22||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|23|0|1168010300101700015019358|||1168010300|개포동||개포2동|0|170|01|15||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|5|0|1168010300101700000019441|||1168010300|개포동||개포2동|0|170|01|0||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|17|0|1168010300101700018019393|||1168010300|개포동||개포2동|0|170|01|18||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|21|0|1168010300101700016019371|||1168010300|개포동||개포2동|0|170|01|16||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|30|9|1168010300101750006021093|||1168010300|개포동||개포4동|0|1175|01|6||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|21|0|1168010300101890006021084|||1168010300|개포동||개포4동|0|1189|01|6||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|34|0|1168010300101750000021030|||1168010300|개포동||개포4동|0|1175|01|0||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|26|7|1168010300101740013021101|||1168010300|개포동||개포4동|0|1174|01|13||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|24|0|1168010300101730017000001|||1168010300|개포동||개포4동|0|1173|01|17||
